Invoice No,Part No,Description,Invoice Date,User Type,Order Qty,Ship Qty,B/O,Unit Price,Extended price,U/M,Tax 01,Tax 02,Unit Cost (Average),Margin % (Average),Unit Cost (Current),Margin % (Current),Discount,Territory,Salesperson,Salesperson Name,Currency,Product Code,Ship Date,Required Date,Warehouse
1000588794,DU2489_L,adidas Boy's Club 3 Stripe Short (White/Black),2020/09/28,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,13.44,55.13,13.44,55,0,1,8,Amazon.com,USD,BSL,2020/09/29,2020/09/28,1
1000581058,DQ1602_M,Adidas by Stella McCartney Women's Skirt (White),2020/09/05,,1,1,0,59.95,59.95,EACH,TRUE,TRUE,31.96,46.69,31.96,47,0,1,8,Amazon.com,USD,CLOTHING,,2020/09/05,1
1000585914,DQ1603_L,Adidas by Stella McCartney Women's Tank Top (White),2020/09/18,,1,1,0,94.95,94.95,EACH,TRUE,TRUE,37.6,60.4,37.6,60,0,1,8,Amazon.com,USD,CLOTHING,,2020/09/18,1
1000586416,DW9122_L,Adidas Club Girl's Skirt Black,2020/09/22,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,GSKL,2020/09/23,2020/09/22,1
1000586432,DW9122_L,Adidas Club Girl's Skirt Black,2020/09/22,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,GSKL,2020/09/23,2020/09/22,1
1000583429,DW9121_L,Adidas Club Girl's Skirt White,2020/09/13,,1,1,0,35,35,EACH,TRUE,TRUE,15.04,57.03,15.04,57,0,1,8,Amazon.com,USD,GSKL,,2020/09/13,1
1000585863,DU2454_M,Adidas Club Girl's Tank White,2020/09/18,,1,1,0,29.95,29.95,EACH,TRUE,TRUE,15.04,49.78,15.04,50,0,1,8,Amazon.com,USD,GTM,,2020/09/18,1
1000581050,DU2464_XL,Adidas Girl's Club T-Shirt (White),2020/09/05,,1,1,0,29.75,29.75,EACH,TRUE,TRUE,15.04,49.45,15.04,49,0,1,8,Amazon.com,USD,GTXL,,2020/09/05,1
1000583473,DU2464_XL,Adidas Girl's Club T-Shirt (White),2020/09/14,,1,1,0,29.75,29.75,EACH,TRUE,TRUE,15.04,49.45,15.04,49,0,1,8,Amazon.com,USD,GTXL,,2020/09/14,1
1000580113,DU2464_XL,Adidas Girl's Club T-Shirt (White),2020/09/03,,1,1,0,29.75,29.75,EACH,TRUE,TRUE,15.04,49.45,15.04,49,0,1,8,Amazon.com,USD,GTXL,,2020/09/03,1
1000583163,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/12,,1,1,0,35.7,35.7,EACH,TRUE,TRUE,20.68,42.07,20.68,42,0,1,8,Amazon.com,USD,MTL,,2020/09/12,1
1000588319,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/15,,1,1,0,38.64,38.64,EACH,TRUE,TRUE,20.68,46.48,20.68,46,0,1,8,Amazon.com,USD,MTL,,2020/09/15,1
1000583117,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/12,,1,1,0,38.64,38.64,EACH,TRUE,TRUE,20.68,46.48,20.68,46,0,1,8,Amazon.com,USD,MTL,,2020/09/12,1
1000584836,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/17,,1,1,0,35.7,35.7,EACH,TRUE,TRUE,20.68,42.07,20.68,42,0,1,8,Amazon.com,USD,MTL,2020/09/18,2020/09/17,1
1000585762,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/14,,1,1,0,35.7,35.7,EACH,TRUE,TRUE,20.68,42.07,20.68,42,0,1,8,Amazon.com,USD,MTL,,2020/09/14,1
1000586185,DU0874_XL,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/12,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTXL,,2020/09/12,1
1000583466,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/14,,1,1,0,35.7,35.7,EACH,TRUE,TRUE,20.68,42.07,20.68,42,0,1,8,Amazon.com,USD,MTL,,2020/09/14,1
1000588282,DU0874_L,adidas Men's Club 3 Stripe 9 Inch Shorts (Black/White),2020/09/15,,1,1,0,38.64,38.64,EACH,TRUE,TRUE,20.68,46.48,20.68,46,0,1,8,Amazon.com,USD,MTL,,2020/09/15,1
1000581047,DP0302_XL,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/04,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTXL,,2020/09/04,1
1000581226,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/07,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTM,,2020/09/07,1
1000581136,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/06,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTM,,2020/09/06,1
1000581133,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/06,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTM,,2020/09/06,1
1000584143,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/08,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTM,,2020/09/08,1
1000587797,DP0302_L,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/25,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTL,2020/09/25,2020/09/25,1
1000581253,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/07,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTM,,2020/09/07,1
1000582964,DP0302_M,adidas Men's Club 3 Stripe 9 Inch Shorts (White/Black),2020/09/06,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,20.68,48.24,20.68,48,0,1,8,Amazon.com,USD,MTM,,2020/09/06,1
1000581089,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/06,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/06,1
1000582566,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/11,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/11,1
1000581052,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/05,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/05,1
1000582367,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/09,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/09,1
1000581113,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/06,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/06,1
1000583358,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/12,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/12,1
1000582503,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/10,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,2020/09/11,2020/09/10,1
1000581668,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/08,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/08,1
1000581201,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/07,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/07,1
1000588283,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/15,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/15,1
1000582562,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/11,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/11,1
1000581684,DX0476_M,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/09,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/09,1
1000583455,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/13,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/13,1
1000581211,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/07,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/07,1
1000588318,DX0476_L,adidas Men's Club 7 Inch Shorts (Black/White),2020/09/14,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/14,1
1000581652,DX0475_L,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/08,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/08,1
1000581624,DX0475_M,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/08,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/08,1
1000582466,DX0475_M,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/10,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,2020/09/11,2020/09/10,1
1000582466,DX0475_L,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/10,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,2020/09/11,2020/09/10,1
1000581627,DX0475_M,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/08,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/08,1
1000581626,DX0475_S,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/08,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSS,,2020/09/08,1
1000581669,DX0475_L,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/08,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/08,1
1000587844,DX0475_S,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/25,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSS,,2020/09/25,1
1000581056,DX0475_M,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/05,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/05,1
1000581101,DX0475_M,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/06,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/06,1
1000581045,DX0475_M,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/04,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSM,,2020/09/04,1
1000581211,DX0475_L,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/07,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSL,,2020/09/07,1
1000584844,DX0475_S,adidas Men's Club 7 Inch Shorts (White/Black),2020/09/17,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,MSS,2020/09/18,2020/09/17,1
1000582338,FK0802_XL,Adidas Men's Freelift Heat Ready Top (White/Shoyel),2020/09/09,,1,1,0,59.95,59.95,EACH,TRUE,TRUE,21.56,64.04,16.8,72,0,1,8,Amazon.com,USD,MTXL,,2020/09/09,1
1000588292,FK0802_M,Adidas Men's Freelift Heat Ready Top (White/Shoyel),2020/09/15,,1,1,0,59.95,59.95,EACH,TRUE,TRUE,26.32,56.1,26.32,56,0,1,8,Amazon.com,USD,MTM,,2020/09/15,1
1000587788,CE2033_M,Adidas Men's Spring Club 3 Stripe Shorts (Black),2020/09/24,,1,1,0,32.95,32.95,EACH,TRUE,TRUE,20.68,37.24,20.68,37,0,1,8,Amazon.com,USD,MSM,2020/09/25,2020/09/24,1
1000588865,EA3166_XL,adidas Men's Stella McCartney Shorts (White),2020/09/28,,1,1,0,34.95,34.95,EACH,TRUE,TRUE,20.4,41.63,20.4,42,0,1,8,Amazon.com,USD,MSXL,2020/09/29,2020/09/28,1
1000579545,EA3166_L,adidas Men's Stella McCartney Shorts (White),2020/09/03,,1,1,0,34.95,34.95,EACH,TRUE,TRUE,20.4,41.63,20.4,42,0,1,8,Amazon.com,USD,MSL,,2020/09/03,1
1000586205,EA3166_XL,adidas Men's Stella McCartney Shorts (White),2020/09/14,,1,1,0,34.95,34.95,EACH,TRUE,TRUE,20.4,41.63,20.4,42,0,1,8,Amazon.com,USD,MSXL,,2020/09/14,1
1000583183,EA3166_L,adidas Men's Stella McCartney Shorts (White),2020/09/12,,1,1,0,34.95,34.95,EACH,TRUE,TRUE,20.4,41.63,20.4,42,0,1,8,Amazon.com,USD,MSL,,2020/09/12,1
1000581072,EA3166_L,adidas Men's Stella McCartney Shorts (White),2020/09/06,,1,1,0,34.95,34.95,EACH,TRUE,TRUE,20.4,41.63,20.4,42,0,1,8,Amazon.com,USD,MSL,,2020/09/06,1
1000587721,EA3166_L,adidas Men's Stella McCartney Shorts (White),2020/09/24,,1,1,0,34.95,34.95,EACH,TRUE,TRUE,20.4,41.63,20.4,42,0,1,8,Amazon.com,USD,MSL,2020/09/25,2020/09/24,1
1000586711,DU0957_S,adidas Women's Club 3 Stripe Top (Black),2020/09/21,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,20.68,54.99,20.68,55,0,1,8,Amazon.com,USD,WTS,,2020/09/21,1
1000581190,DU0957_M,adidas Women's Club 3 Stripe Top (Black),2020/09/07,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,20.68,54.99,20.68,55,0,1,8,Amazon.com,USD,WTM,,2020/09/07,1
1000583367,FK6989_S,adidas Women's Club Skirt (Black),2020/09/13,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKS,,2020/09/13,1
1000579494,FK6989_M,adidas Women's Club Skirt (Black),2020/09/02,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKM,,2020/09/02,1
1000583423,FK6989_S,adidas Women's Club Skirt (Black),2020/09/13,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKS,,2020/09/13,1
1000579537,DW9136_M,adidas Women's Club Skirt (White),2020/09/03,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,20.68,54.99,20.68,55,0,1,8,Amazon.com,USD,WSKM,,2020/09/03,1
1000586419,DW9136_XS,adidas Women's Club Skirt (White),2020/09/22,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,20.68,54.99,20.68,55,0,1,8,Amazon.com,USD,WSKXS,2020/09/23,2020/09/22,1
1000580161,DW9136_M,adidas Women's Club Skirt (White),2020/09/03,,1,1,0,45.95,45.95,EACH,TRUE,TRUE,20.68,54.99,20.68,55,0,1,8,Amazon.com,USD,WSKM,,2020/09/03,1
1000586182,FK6990_M,Adidas Women's Club Skirt (White),2020/09/14,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKM,,2020/09/14,1
1000588821,FK6990_M,Adidas Women's Club Skirt (White),2020/09/28,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKM,2020/09/29,2020/09/28,1
1000581222,FK6990_M,Adidas Women's Club Skirt (White),2020/09/07,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKM,,2020/09/07,1
1000579502,FK6990_M,Adidas Women's Club Skirt (White),2020/09/02,,1,1,0,44.95,44.95,EACH,TRUE,TRUE,20.68,53.99,20.68,54,0,1,8,Amazon.com,USD,WSKM,,2020/09/02,1
1000581137,FK0761_XL,adidas Women's Heat Ready Dress (Purple),2020/09/06,,1,1,0,71.95,71.95,EACH,TRUE,TRUE,28.8,59.97,28.8,60,0,1,8,Amazon.com,USD,WDXL,,2020/09/06,1
1000581209,FK0761_XL,adidas Women's Heat Ready Dress (Purple),2020/09/07,,1,1,0,71.95,71.95,EACH,TRUE,TRUE,28.8,59.97,28.8,60,0,1,8,Amazon.com,USD,WDXL,,2020/09/07,1
1000587880,FK0761_XL,adidas Women's Heat Ready Dress (Purple),2020/09/25,,1,1,0,71.95,71.95,EACH,TRUE,TRUE,28.8,59.97,28.8,60,0,1,8,Amazon.com,USD,WDXL,,2020/09/25,1
1000587192,FK0761_XL,adidas Women's Heat Ready Dress (Purple),2020/09/23,,1,1,0,71.95,71.95,EACH,TRUE,TRUE,28.8,59.97,28.8,60,0,1,8,Amazon.com,USD,WDXL,,2020/09/23,1
1000579462,FK0761_XL,adidas Women's Heat Ready Dress (Purple),2020/09/02,,1,1,0,71.95,71.95,EACH,TRUE,TRUE,28.8,59.97,28.8,60,0,1,8,Amazon.com,USD,WDXL,,2020/09/02,1
1000581049,DT3968_S,Adidas Women's MatchCode Tank Top (Red),2020/09/05,,1,1,0,75,75,EACH,TRUE,TRUE,33.82,54.91,33.82,55,0,1,8,Amazon.com,USD,WTS,,2020/09/05,1
1000582359,DX4316_M,adidas Women's NT Tank Top (Black),2020/09/09,,1,1,0,50,50,EACH,TRUE,TRUE,24.44,51.12,24.44,51,0,1,8,Amazon.com,USD,WTM,,2020/09/09,1
1000580144,DP0269_XS,Adidas Women's Parley Skirt (White),2020/09/03,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,26.32,34.12,26.32,34,0,1,8,Amazon.com,USD,WSKXS,,2020/09/03,1
1000586184,DP0269_S,Adidas Women's Parley Skirt (White),2020/09/14,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,26.32,34.12,26.32,34,0,1,8,Amazon.com,USD,WSKS,,2020/09/14,1
1000582378,DP0269_XS,Adidas Women's Parley Skirt (White),2020/09/09,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,26.32,34.12,26.32,34,0,1,8,Amazon.com,USD,WSKXS,,2020/09/09,1
1000587989,DP0269_S,Adidas Women's Parley Skirt (White),2020/09/27,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,26.32,34.12,26.32,34,0,1,8,Amazon.com,USD,WSKS,,2020/09/27,1
1000581585,DP0268_S,Adidas Women's Parley Tank Top (Blue/White),2020/09/08,,1,1,0,36.69,36.69,EACH,TRUE,TRUE,26.32,28.26,26.32,28,0,1,8,Amazon.com,USD,WTS,,2020/09/08,1
1000582354,CY1907_M,Adidas Women's Stella McCartney Barricade Tank Top (Coffee Rose),2020/09/09,,1,1,0,49.95,49.95,EACH,TRUE,TRUE,30.08,39.78,30.08,40,0,1,8,Amazon.com,USD,WTM,,2020/09/09,1
1000587839,CY1907_M,Adidas Women's Stella McCartney Barricade Tank Top (Coffee Rose),2020/09/25,,1,1,0,49.95,49.95,EACH,TRUE,TRUE,30.08,39.78,30.08,40,0,1,8,Amazon.com,USD,WTM,,2020/09/25,1
1000585632,EA3116_S,adidas Women's Stella McCartney Skirt (White),2020/09/20,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKS,,2020/09/20,1
1000581049,EA3116_S,adidas Women's Stella McCartney Skirt (White),2020/09/05,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKS,,2020/09/05,1
1000581131,EA3116_XS,adidas Women's Stella McCartney Skirt (White),2020/09/06,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKXS,,2020/09/06,1
1000584824,EA3116_M,adidas Women's Stella McCartney Skirt (White),2020/09/17,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKM,2020/09/18,2020/09/17,1
1000582529,EA3116_S,adidas Women's Stella McCartney Skirt (White),2020/09/10,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKS,2020/09/11,2020/09/10,1
1000581046,EA3116_M,adidas Women's Stella McCartney Skirt (White),2020/09/04,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKM,,2020/09/04,1
1000583175,EA3116_S,adidas Women's Stella McCartney Skirt (White),2020/09/12,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKS,,2020/09/12,1
1000586510,EA3116_XS,adidas Women's Stella McCartney Skirt (White),2020/09/23,,1,1,0,69.99,69.99,EACH,TRUE,TRUE,26.4,62.28,26.4,62,0,1,8,Amazon.com,USD,WSKXS,2020/09/23,2020/09/23,1
1000587842,EA3116_XS,adidas Women's Stella McCartney Skirt (White),2020/09/25,,1,1,0,69.99,69.99,EACH,TRUE,TRUE,26.4,62.28,26.4,62,0,1,8,Amazon.com,USD,WSKXS,,2020/09/25,1
1000585642,EA3116_L,adidas Women's Stella McCartney Skirt (White),2020/09/21,,1,1,0,79.95,79.95,EACH,TRUE,TRUE,26.4,66.98,26.4,67,0,1,8,Amazon.com,USD,WSKL,,2020/09/21,1
1000586174,AI8240_M,Adidas Women's Stella McCartney Top (Coral Pink/Orange),2020/09/14,,1,1,0,39.95,39.95,EACH,TRUE,TRUE,23.75,40.55,23.75,41,0,1,8,Amazon.com,USD,WTM,,2020/09/14,1
